epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,42581.7,0.66376,0.71035,1.16642,0.83315,0.82261,0.89806,0.72422,0.78557,0.58184,1.24216,0.0034165,0.0034165,0.0034165
135,42898.3,0.66194,0.70828,1.16546,0.83667,0.81912,0.89758,0.72403,0.78382,0.58187,1.23993,0.003367,0.003367,0.003367
136,43217,0.66151,0.70651,1.16677,0.83124,0.82202,0.89855,0.7254,0.78298,0.58106,1.23948,0.0033175,0.0033175,0.0033175
137,43532.7,0.66191,0.70228,1.16577,0.83288,0.82089,0.89875,0.72626,0.78211,0.5796,1.23848,0.003268,0.003268,0.003268
138,43848.4,0.6586,0.69932,1.16257,0.82999,0.82111,0.89911,0.72621,0.78203,0.57975,1.23891,0.0032185,0.0032185,0.0032185
139,44167.9,0.65464,0.6939,1.16046,0.81761,0.83133,0.89835,0.72605,0.78209,0.57947,1.23923,0.003169,0.003169,0.003169
140,44485.1,0.65512,0.6974,1.16061,0.82642,0.82574,0.89739,0.72543,0.78126,0.57936,1.23903,0.0031195,0.0031195,0.0031195
141,44800.2,0.65315,0.69159,1.16054,0.81826,0.83708,0.89672,0.72529,0.78096,0.57951,1.23948,0.00307,0.00307,0.00307
142,45118.7,0.65255,0.69016,1.15939,0.82104,0.83417,0.89655,0.72564,0.7799,0.5788,1.23855,0.0030205,0.0030205,0.0030205
143,45434.2,0.6495,0.68416,1.15702,0.82194,0.8396,0.89656,0.72509,0.78086,0.57963,1.23955,0.002971,0.002971,0.002971
144,45749.7,0.65239,0.6837,1.15886,0.82272,0.83709,0.89686,0.72567,0.78006,0.57911,1.23904,0.0029215,0.0029215,0.0029215
145,46068.9,0.64769,0.68101,1.15725,0.82031,0.83751,0.89675,0.72545,0.77916,0.57977,1.23854,0.002872,0.002872,0.002872
146,46385,0.64397,0.67573,1.15426,0.81525,0.84324,0.89627,0.72606,0.77783,0.57978,1.23793,0.0028225,0.0028225,0.0028225
147,46700.6,0.6443,0.6729,1.1542,0.823,0.83635,0.89574,0.72499,0.77838,0.58005,1.23903,0.002773,0.002773,0.002773
148,47017.4,0.64363,0.67369,1.15412,0.83889,0.82597,0.89608,0.72595,0.77934,0.57942,1.23994,0.0027235,0.0027235,0.0027235
149,47334.6,0.64264,0.6667,1.15169,0.83876,0.82744,0.89649,0.7263,0.77773,0.57891,1.23829,0.002674,0.002674,0.002674
150,47650,0.64163,0.66461,1.15277,0.83189,0.83504,0.89613,0.72567,0.77691,0.57942,1.23776,0.0026245,0.0026245,0.0026245
151,47966.4,0.64103,0.66213,1.15147,0.83323,0.83672,0.89572,0.72616,0.77653,0.57971,1.23769,0.002575,0.002575,0.002575
152,48284.4,0.63672,0.6573,1.14857,0.83296,0.8344,0.89514,0.72617,0.77617,0.57957,1.2378,0.0025255,0.0025255,0.0025255
153,48599.7,0.63311,0.655,1.1469,0.82789,0.8359,0.89545,0.72648,0.77582,0.57799,1.23721,0.002476,0.002476,0.002476
154,48918.1,0.63408,0.65342,1.14812,0.82648,0.83684,0.89474,0.72676,0.77607,0.57861,1.23821,0.0024265,0.0024265,0.0024265
155,49235.7,0.62951,0.64963,1.1452,0.82495,0.83743,0.89431,0.72629,0.77524,0.57773,1.23715,0.002377,0.002377,0.002377
156,49551.5,0.6281,0.64682,1.14449,0.8248,0.8371,0.89397,0.72632,0.77445,0.57845,1.23617,0.0023275,0.0023275,0.0023275
157,49868.9,0.62746,0.64343,1.14294,0.82758,0.83927,0.89402,0.72705,0.77375,0.57714,1.23577,0.002278,0.002278,0.002278
158,50187.4,0.62461,0.64284,1.14193,0.8325,0.8328,0.89422,0.72742,0.77432,0.57639,1.23724,0.0022285,0.0022285,0.0022285
159,50504.2,0.62297,0.63514,1.13959,0.83183,0.83182,0.89411,0.72747,0.77372,0.57669,1.23714,0.002179,0.002179,0.002179
160,50821.4,0.61955,0.63341,1.1394,0.84357,0.81432,0.89428,0.72635,0.7742,0.57891,1.23843,0.0021295,0.0021295,0.0021295
161,51139.2,0.61598,0.62867,1.13656,0.83637,0.82583,0.89449,0.72663,0.77425,0.57751,1.23832,0.00208,0.00208,0.00208
162,51454.5,0.61756,0.62794,1.13698,0.82771,0.83431,0.89457,0.72607,0.77333,0.5777,1.23733,0.0020305,0.0020305,0.0020305
163,51771.3,0.6164,0.6216,1.13662,0.83961,0.82629,0.89457,0.72573,0.7721,0.57737,1.23559,0.001981,0.001981,0.001981
164,52090,0.6132,0.61812,1.13422,0.84507,0.82117,0.89476,0.72707,0.77118,0.57718,1.23493,0.0019315,0.0019315,0.0019315
165,52405,0.6137,0.61656,1.13408,0.84739,0.81939,0.89436,0.72655,0.77005,0.57749,1.23367,0.001882,0.001882,0.001882
166,52720.7,inf,0.61084,1.13297,0.84247,0.82434,0.89405,0.72644,0.76973,0.57799,1.23362,0.0018325,0.0018325,0.0018325
167,53039.3,0.60771,0.6075,1.13245,0.84255,0.82363,0.89364,0.72626,0.7683,0.57708,1.23311,0.001783,0.001783,0.001783
168,53355.4,0.603,0.60185,1.12696,0.84795,0.82312,0.89304,0.72588,0.76801,0.57754,1.23331,0.0017335,0.0017335,0.0017335
169,53672.6,0.6013,0.59957,1.12648,0.84785,0.82226,0.89216,0.72577,0.76751,0.5804,1.23356,0.001684,0.001684,0.001684
170,53991.3,0.6008,0.59536,1.12627,0.84917,0.82152,0.89066,0.72364,0.76659,0.57935,1.23341,0.0016345,0.0016345,0.0016345
171,54306.7,0.59911,0.59364,1.12519,0.84252,0.82011,0.89055,0.72392,0.76677,0.57982,1.23419,0.001585,0.001585,0.001585
172,54621.7,0.59457,0.58724,1.12296,0.83501,0.82137,0.89016,0.72343,0.76689,0.58051,1.23522,0.0015355,0.0015355,0.0015355
173,54941.6,0.59041,0.58008,1.11942,0.81323,0.8394,0.89002,0.7247,0.76594,0.58128,1.2347,0.001486,0.001486,0.001486
174,55257.3,0.58792,0.57888,1.11901,0.81053,0.84169,0.88908,0.72381,0.76498,0.58315,1.23413,0.0014365,0.0014365,0.0014365
175,55573,0.58944,0.57897,1.11945,0.81438,0.83967,0.88866,0.72289,0.76427,0.58388,1.23369,0.001387,0.001387,0.001387
176,55892.5,0.58399,0.56988,1.11726,0.81247,0.8404,0.88797,0.72265,0.76383,0.58479,1.23381,0.0013375,0.0013375,0.0013375
177,56208.8,0.57976,0.56856,1.11486,0.81064,0.8378,0.88698,0.72233,0.76377,0.58606,1.23437,0.001288,0.001288,0.001288
178,56524.2,0.57962,0.56337,1.11449,0.80642,0.84185,0.88611,0.72229,0.76486,0.58828,1.23697,0.0012385,0.0012385,0.0012385
179,56842.3,0.57847,0.55762,1.11255,0.80084,0.84139,0.88588,0.72191,0.76542,0.58887,1.23854,0.001189,0.001189,0.001189
180,57157.9,0.57325,0.55649,1.11028,0.82375,0.81747,0.88513,0.72123,0.7653,0.59041,1.23981,0.0011395,0.0011395,0.0011395
181,57473.7,0.57288,0.55,1.10958,0.82679,0.81348,0.88433,0.72186,0.76469,0.59178,1.23972,0.00109,0.00109,0.00109
182,57792.9,0.56906,0.54636,1.10669,0.84427,0.8001,0.88401,0.72238,0.76559,0.59411,1.24193,0.0010405,0.0010405,0.0010405
183,58108.4,0.5663,0.54198,1.10555,0.84563,0.79952,0.88394,0.72208,0.76519,0.59477,1.24258,0.000991,0.000991,0.000991
184,58423.5,0.56282,0.53731,1.10273,0.84703,0.80057,0.88428,0.72087,0.76521,0.59579,1.24402,0.0009415,0.0009415,0.0009415
